path	width	height	formatBefore	formatAfter	oldDefaultCompression
Assets/Assets/Images/Cards/CardFrame/Frame_N.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_N_synergy_01.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_N_synergy_02.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_R.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_R_synergy_01.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_R_synergy_02.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_SR.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_SR_synergy_01.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_SR_synergy_02.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_UR.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_UR_synergy_01.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Cards/CardFrame/Frame_UR_synergy_02.png	770	1024	RGBA32	ASTC_4x4	Uncompressed
Assets/Assets/Images/Emotes/Image_Emote_doomchit.png	1024	512	RGBA32	ASTC_6x6	Uncompressed
Assets/Assets/Images/Emotes/Image_Emote_love.png	1024	512	RGBA32	ASTC_6x6	Uncompressed
Assets/Assets/Images/Emotes/Image_Emote_surprise.png	1024	512	RGBA32	ASTC_6x6	Uncompressed
Assets/Assets/Images/Emotes/Image_Emote_tired.png	1024	512	RGBA32	ASTC_6x6	Uncompressed
Assets/Assets/Images/Emotes/Imate_Emote_yawn.png	512	512	RGBA32	ASTC_6x6	Uncompressed
