id,name,displayName,channel,maxHp,keywords,keywordUnlockLevel,synergies,defaultEvolutionStage,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,cardExplain
1,포슬램,포슬램,Live,3,Healer,3,돌보미,0,1,2,1,2,1,2,1,2,1,
2,파도리,파도리,Live,4,Ranged,0,돌보미,0,2,1,1,2,1,1,2,1,1,
3,별토리,별토리,Live,4,Healer,3,돌보미,0,1,1,2,1,2,1,2,1,2,
4,솜구름몽,솜구름몽,Live,4,,0,돌보미,0,1,2,1,1,2,1,1,1,2,
5,철갑몽치,철갑몽치,Live,7,Taunt,0,성벽,0,1,1,1,1,1,2,2,2,2,
6,바위콩,바위콩,Live,5,,0,,0,1,2,1,1,2,1,1,2,1,
7,왕밤도치,왕밤도치,Live,6,Taunt,0,성벽,0,1,1,1,1,2,1,2,2,2,
8,깜밤이,깜밤이,Live,5,Taunt,0,언데드,0,1,1,1,2,1,1,2,2,2,
9,버섯냥,버섯냥,Live,4,Ranged,2,언데드,0,1,1,2,1,1,2,1,2,1,
10,꿈먹이,꿈먹이,Live,6,Execution,0,언데드,0,1,1,1,1,1,1,2,2,3,
11,우드혼,우드혼,Live,5,,0,유산,0,1,1,1,1,1,1,2,2,2,
12,대장부리,대장부리,Live,6,Peerless|Mark,4,유산,0,1,1,1,1,1,1,1,3,3,
13,늪꾸리,늪꾸리,Live,4,Execution,0,청소부,0,1,1,2,1,2,1,1,2,1,
14,해롱문어,해롱문어,Live,5,Peerless,4,청소부,0,1,1,1,2,1,1,2,1,2,
15,물방울룽,물방울룽,Live,2,Cunning,4,흐름,0,2,2,2,2,1,1,1,1,1,
16,풍선펭,풍선펭,Live,2,Cunning,4,흐름,0,2,2,2,1,2,1,1,1,1,
17,와글도도,와글도도,Live,1,Ranged,2,무리,0,2,2,2,2,2,1,1,1,1,
18,모래몽,모래몽,Live,2,Ranged,2,무리,0,2,2,2,1,1,2,1,1,1,
19,얼음꼬미,얼음꼬미,Live,3,Execution,3,무리,0,2,2,1,2,1,1,2,1,1,
20,꿀꿀비,꿀꿀비,Live,3,,0,무리,0,2,1,2,1,2,1,1,2,1,
21,자석게,자석게,Live,6,Taunt,0,비늘,0,1,1,1,1,2,2,2,2,1,
22,톱니두더,톱니두더,Live,5,Taunt,0,비늘,0,1,1,2,1,1,2,2,1,2,
23,눈덩곰,눈덩곰,Live,6,Taunt,0,덩치,0,1,1,1,2,1,2,2,1,2,
24,화르룩스,화르룩스,Live,8,Taunt,0,덩치,0,1,1,1,1,1,2,1,2,2,
25,찌릿핀,찌릿핀,Live,5,Execution,3,흐름,0,1,2,1,2,1,1,2,1,1,
26,번개뿔,번개뿔,Live,6,,0,흐름,0,1,1,2,1,1,2,1,2,1,
27,모닥콩,모닥콩,Live,6,,0,,0,1,1,1,1,2,1,2,1,2,
28,단풍꼬리,단풍꼬리,Live,5,,0,,0,1,1,2,2,1,1,1,2,1,
29,수정뿔루,수정뿔루,Live,2,,0,,0,1,1,1,1,2,2,2,2,1,
30,폭탄밤,폭탄밤,Live,4,,0,,0,2,2,1,1,1,2,1,1,1,
31,바너구,바너구,Live,5,,0,,0,1,2,1,1,1,2,2,1,1,
32,찌릿핀 3,찌릿핀 3,TestOnly,8,Execution,0,흐름,3,1,1,2,1,1,1,2,1,2,
33,물방울룽 3,물방울룽 3,TestOnly,8,Cunning,0,흐름,3,2,2,1,1,1,1,1,1,1,
34,깜밤이 3,깜밤이 3,TestOnly,8,Taunt,0,언데드,3,1,1,1,1,1,1,2,2,2,
35,솜구름몽 3,솜구름몽 3,TestOnly,8,Healer,0,돌보미,3,1,2,1,1,1,1,1,2,1,
