행 고유 번호(부여 후 변경 금지),AIDeck.deckId 참조,덱 안 카드 순서(0~5),Card.id 참조,참고용 카드 이름(데이터 아님)
id,deckId,slot,cardId,#cardName
int,string,int,int,string
1,deck_01,0,17,
2,deck_01,1,18,
3,deck_01,2,19,
4,deck_01,3,20,
5,deck_01,4,13,
6,deck_01,5,14,
7,deck_02,0,17,
8,deck_02,1,18,
9,deck_02,2,19,
10,deck_02,3,20,
11,deck_02,4,21,
12,deck_02,5,22,
13,deck_03,0,1,
14,deck_03,1,2,
15,deck_03,2,3,
16,deck_03,3,4,
17,deck_03,4,11,
18,deck_03,5,12,
19,deck_04,0,1,
20,deck_04,1,2,
21,deck_04,2,3,
22,deck_04,3,4,
23,deck_04,4,23,
24,deck_04,5,24,
25,deck_05,0,15,
26,deck_05,1,16,
27,deck_05,2,25,
28,deck_05,3,26,
29,deck_05,4,21,
30,deck_05,5,22,
31,deck_06,0,15,
32,deck_06,1,16,
33,deck_06,2,25,
34,deck_06,3,26,
35,deck_06,4,23,
36,deck_06,5,24,
37,deck_07,0,8,
38,deck_07,1,9,
39,deck_07,2,10,
40,deck_07,3,5,
41,deck_07,4,6,
42,deck_07,5,7,
43,deck_08,0,5,
44,deck_08,1,6,
45,deck_08,2,7,
46,deck_08,3,11,
47,deck_08,4,12,
48,deck_08,5,10,
49,deck_09,0,21,
50,deck_09,1,22,
51,deck_09,2,23,
52,deck_09,3,24,
53,deck_09,4,13,
54,deck_09,5,14,
55,deck_10,0,29,
56,deck_10,1,20,
57,deck_10,2,30,
58,deck_10,3,28,
59,deck_10,4,6,
60,deck_10,5,27,
61,deck_11,0,29,
62,deck_11,1,4,
63,deck_11,2,30,
64,deck_11,3,28,
65,deck_11,4,11,
66,deck_11,5,26,
67,deck_12,0,17,
68,deck_12,1,18,
69,deck_12,2,2,
70,deck_12,3,30,
71,deck_12,4,6,
72,deck_12,5,27,
73,deck_13,0,29,
74,deck_13,1,30,
75,deck_13,2,5,
76,deck_13,3,22,
77,deck_13,4,28,
78,deck_13,5,23,
79,deck_14,0,29,
80,deck_14,1,18,
81,deck_14,2,9,
82,deck_14,3,28,
83,deck_14,4,8,
84,deck_14,5,6,
85,deck_15,0,19,
86,deck_15,1,13,
87,deck_15,2,30,
88,deck_15,3,25,
89,deck_15,4,6,
90,deck_15,5,27,
91,deck_16,0,29,
92,deck_16,1,1,
93,deck_16,2,3,
94,deck_16,3,2,
95,deck_16,4,30,
96,deck_16,5,7,
97,deck_17,0,15,
98,deck_17,1,16,
99,deck_17,2,30,
100,deck_17,3,25,
101,deck_17,4,14,
102,deck_17,5,27,
103,deck_18,0,29,
104,deck_18,1,19,
105,deck_18,2,30,
106,deck_18,3,12,
107,deck_18,4,14,
108,deck_18,5,23,
109,deck_19,0,21,
110,deck_19,1,22,
111,deck_19,2,29,
112,deck_19,3,30,
113,deck_19,4,6,
114,deck_19,5,27,
115,deck_20,0,23,
116,deck_20,1,24,
117,deck_20,2,29,
118,deck_20,3,30,
119,deck_20,4,28,
120,deck_20,5,27,
121,deck_21,0,17,
122,deck_21,1,18,
123,deck_21,2,20,
124,deck_21,3,19,
125,deck_21,4,30,
126,deck_21,5,27,
127,deck_22,0,5,
128,deck_22,1,7,
129,deck_22,2,29,
130,deck_22,3,30,
131,deck_22,4,28,
132,deck_22,5,6,
