행 고유 번호(부여 후 변경 금지),덱 안정 키,검증·로그용 이름,등장 시작 티어 인덱스,등장 종료 티어(포함·0은 제한 없음),같은 티어 안 등장 가중치(0 이하는 1),카드 레벨 하한(0=미저작),카드 레벨 상한·포함(0=미저작),1번 칸 Card.id 참조,2번 칸,3번 칸,4번 칸,5번 칸,6번 칸,참고용 메모(데이터 아님)
id,deckId,deckName,fromTier,toTier,weight,fromLevel,toLevel,card1,card2,card3,card4,card5,card6,#memo
int,string,string,int,int,int,int,int,int,int,int,int,int,int,string
1,deck_01,무리 + 청소부,9,19,1,1,1,17,18,19,20,13,14,
2,deck_02,무리 + 비늘,9,19,1,1,1,17,18,19,20,21,22,
3,deck_03,돌보미 + 유산,9,19,1,1,1,1,2,3,4,11,12,
4,deck_04,돌보미 + 덩치,9,19,1,1,1,1,2,3,4,23,24,
5,deck_05,흐름 + 비늘,9,19,1,1,1,15,16,25,26,21,22,
6,deck_06,흐름 + 덩치,9,19,1,1,1,15,16,25,26,23,24,
7,deck_07,언데드 + 성벽,9,19,1,1,1,8,9,10,5,6,7,
8,deck_08,성벽 + 유산,9,19,1,1,1,5,6,7,11,12,10,
9,deck_09,비늘·덩치·청소부,16,19,1,1,1,21,22,23,24,13,14,
10,deck_10,돌무리,0,3,1,1,1,29,20,30,28,6,27,
11,deck_11,숲그늘,0,3,1,1,1,29,4,30,28,11,26,
12,deck_12,먼바람,2,5,1,1,1,17,18,2,30,6,27,
13,deck_13,단단벽,2,5,1,1,1,29,30,5,22,28,23,
14,deck_14,그늘무덤,2,5,1,1,1,29,18,9,28,8,6,
15,deck_15,잔불,4,6,1,1,1,19,13,30,25,6,27,
16,deck_16,치유터,4,6,1,1,1,29,1,3,2,30,7,
17,deck_17,요령,6,6,1,1,1,15,16,30,25,14,27,
18,deck_18,예리,6,6,1,1,1,29,19,30,12,14,23,
19,deck_19,비늘 입문,7,10,1,1,1,21,22,29,30,6,27,
20,deck_20,덩치 입문,7,10,1,1,1,23,24,29,30,28,27,
21,deck_21,무리 입문,7,10,1,1,1,17,18,20,19,30,27,
22,deck_22,성벽 입문,7,10,1,1,1,5,7,29,30,28,6,
