계정 레벨(=행 번호. 1부터 연속),이 레벨에 도달하는 데 필요한 누적 경험치,승리 1회 획득 경험치(전 행 동일),패배·무승부 1회 획득 경험치(전 행 동일),메모
id,requiredExp,winExp,loseExp,#memo
int,long,long,long,string
1,0,100,50,시작 레벨 — requiredExp는 반드시 0
2,300,100,50,승 3판
3,700,100,50,
4,1200,100,50,
5,1800,100,50,
6,2500,100,50,
7,3300,100,50,
8,4200,100,50,
9,5200,100,50,
10,6300,100,50,여기까지 승 63판
11,7500,100,50,
12,8800,100,50,
13,10200,100,50,
14,11700,100,50,
15,13300,100,50,
16,15000,100,50,
17,16800,100,50,
18,18700,100,50,
19,20700,100,50,
20,22800,100,50,여기까지 승 228판
21,25000,100,50,
22,27300,100,50,
23,29700,100,50,
24,32200,100,50,
25,34800,100,50,
26,37500,100,50,한 레벨에 승 27판
27,40300,100,50,
28,43200,100,50,
29,46200,100,50,
30,49300,100,50,여기까지 승 493판
31,52500,100,50,
32,55800,100,50,
33,59200,100,50,
34,62700,100,50,
35,66300,100,50,
36,70000,100,50,
37,73800,100,50,
38,77700,100,50,
39,81700,100,50,
40,85800,100,50,여기까지 승 858판
41,90000,100,50,
42,94300,100,50,
43,98700,100,50,
44,103200,100,50,
45,107800,100,50,
46,112500,100,50,
47,117300,100,50,
48,122200,100,50,
49,127200,100,50,한 레벨에 승 51판
50,132300,100,50,만렙
