행 고유 번호 변경 금지,업적 단계 안정 키 변경 금지,동일 누적 진행도를 공유하는 그룹,그룹 안 단계 순서 1부터,집계 이벤트,PlaySynergy 전용 SynergyDef.synergyId,누적 목표,표시 제목,표시 설명,그룹 표시 순서,1 활성 0 비활성
id,achievementId,groupId,stage,eventKey,synergyId,targetCount,title,description,sortOrder,enabled
int,string,string,int,string,string,int,string,string,int,int
1,win.1,win,1,WinBattle,,1,승리의 기록,전투에서 누적 1회 승리하세요,10,1
2,win.2,win,2,WinBattle,,10,승리의 기록,전투에서 누적 10회 승리하세요,10,1
3,win.3,win,3,WinBattle,,30,승리의 기록,전투에서 누적 30회 승리하세요,10,1
4,win.4,win,4,WinBattle,,100,승리의 기록,전투에서 누적 100회 승리하세요,10,1
5,win.5,win,5,WinBattle,,300,승리의 기록,전투에서 누적 300회 승리하세요,10,1
6,destroy.1,destroy,1,DestroyCards,,10,파괴의 기록,전투에서 상대 카드를 누적 10장 파괴하세요,20,1
7,destroy.2,destroy,2,DestroyCards,,50,파괴의 기록,전투에서 상대 카드를 누적 50장 파괴하세요,20,1
8,destroy.3,destroy,3,DestroyCards,,200,파괴의 기록,전투에서 상대 카드를 누적 200장 파괴하세요,20,1
9,destroy.4,destroy,4,DestroyCards,,1000,파괴의 기록,전투에서 상대 카드를 누적 1000장 파괴하세요,20,1
10,destroy.5,destroy,5,DestroyCards,,3000,파괴의 기록,전투에서 상대 카드를 누적 3000장 파괴하세요,20,1
11,synergy.Brand.1,synergy.Brand,1,PlaySynergy,Brand,1,낙인의 동료,시작 덱에서 낙인 시너지를 활성화하고 전투를 누적 1회 완료하세요,30,1
12,synergy.Brand.2,synergy.Brand,2,PlaySynergy,Brand,10,낙인의 동료,시작 덱에서 낙인 시너지를 활성화하고 전투를 누적 10회 완료하세요,30,1
13,synergy.Brand.3,synergy.Brand,3,PlaySynergy,Brand,30,낙인의 동료,시작 덱에서 낙인 시너지를 활성화하고 전투를 누적 30회 완료하세요,30,1
14,synergy.Brand.4,synergy.Brand,4,PlaySynergy,Brand,100,낙인의 동료,시작 덱에서 낙인 시너지를 활성화하고 전투를 누적 100회 완료하세요,30,1
15,synergy.Brand.5,synergy.Brand,5,PlaySynergy,Brand,300,낙인의 동료,시작 덱에서 낙인 시너지를 활성화하고 전투를 누적 300회 완료하세요,30,1
16,synergy.Bulk.1,synergy.Bulk,1,PlaySynergy,Bulk,1,덩치의 동료,시작 덱에서 덩치 시너지를 활성화하고 전투를 누적 1회 완료하세요,31,1
17,synergy.Bulk.2,synergy.Bulk,2,PlaySynergy,Bulk,10,덩치의 동료,시작 덱에서 덩치 시너지를 활성화하고 전투를 누적 10회 완료하세요,31,1
18,synergy.Bulk.3,synergy.Bulk,3,PlaySynergy,Bulk,30,덩치의 동료,시작 덱에서 덩치 시너지를 활성화하고 전투를 누적 30회 완료하세요,31,1
19,synergy.Bulk.4,synergy.Bulk,4,PlaySynergy,Bulk,100,덩치의 동료,시작 덱에서 덩치 시너지를 활성화하고 전투를 누적 100회 완료하세요,31,1
20,synergy.Bulk.5,synergy.Bulk,5,PlaySynergy,Bulk,300,덩치의 동료,시작 덱에서 덩치 시너지를 활성화하고 전투를 누적 300회 완료하세요,31,1
21,synergy.Caretaker.1,synergy.Caretaker,1,PlaySynergy,Caretaker,1,돌보미의 동료,시작 덱에서 돌보미 시너지를 활성화하고 전투를 누적 1회 완료하세요,32,1
22,synergy.Caretaker.2,synergy.Caretaker,2,PlaySynergy,Caretaker,10,돌보미의 동료,시작 덱에서 돌보미 시너지를 활성화하고 전투를 누적 10회 완료하세요,32,1
23,synergy.Caretaker.3,synergy.Caretaker,3,PlaySynergy,Caretaker,30,돌보미의 동료,시작 덱에서 돌보미 시너지를 활성화하고 전투를 누적 30회 완료하세요,32,1
24,synergy.Caretaker.4,synergy.Caretaker,4,PlaySynergy,Caretaker,100,돌보미의 동료,시작 덱에서 돌보미 시너지를 활성화하고 전투를 누적 100회 완료하세요,32,1
25,synergy.Caretaker.5,synergy.Caretaker,5,PlaySynergy,Caretaker,300,돌보미의 동료,시작 덱에서 돌보미 시너지를 활성화하고 전투를 누적 300회 완료하세요,32,1
26,synergy.Flow.1,synergy.Flow,1,PlaySynergy,Flow,1,흐름의 동료,시작 덱에서 흐름 시너지를 활성화하고 전투를 누적 1회 완료하세요,33,1
27,synergy.Flow.2,synergy.Flow,2,PlaySynergy,Flow,10,흐름의 동료,시작 덱에서 흐름 시너지를 활성화하고 전투를 누적 10회 완료하세요,33,1
28,synergy.Flow.3,synergy.Flow,3,PlaySynergy,Flow,30,흐름의 동료,시작 덱에서 흐름 시너지를 활성화하고 전투를 누적 30회 완료하세요,33,1
29,synergy.Flow.4,synergy.Flow,4,PlaySynergy,Flow,100,흐름의 동료,시작 덱에서 흐름 시너지를 활성화하고 전투를 누적 100회 완료하세요,33,1
30,synergy.Flow.5,synergy.Flow,5,PlaySynergy,Flow,300,흐름의 동료,시작 덱에서 흐름 시너지를 활성화하고 전투를 누적 300회 완료하세요,33,1
31,synergy.Legacy.1,synergy.Legacy,1,PlaySynergy,Legacy,1,유산의 동료,시작 덱에서 유산 시너지를 활성화하고 전투를 누적 1회 완료하세요,34,1
32,synergy.Legacy.2,synergy.Legacy,2,PlaySynergy,Legacy,10,유산의 동료,시작 덱에서 유산 시너지를 활성화하고 전투를 누적 10회 완료하세요,34,1
33,synergy.Legacy.3,synergy.Legacy,3,PlaySynergy,Legacy,30,유산의 동료,시작 덱에서 유산 시너지를 활성화하고 전투를 누적 30회 완료하세요,34,1
34,synergy.Legacy.4,synergy.Legacy,4,PlaySynergy,Legacy,100,유산의 동료,시작 덱에서 유산 시너지를 활성화하고 전투를 누적 100회 완료하세요,34,1
35,synergy.Legacy.5,synergy.Legacy,5,PlaySynergy,Legacy,300,유산의 동료,시작 덱에서 유산 시너지를 활성화하고 전투를 누적 300회 완료하세요,34,1
36,synergy.Predator.1,synergy.Predator,1,PlaySynergy,Predator,1,포식자의 동료,시작 덱에서 포식자 시너지를 활성화하고 전투를 누적 1회 완료하세요,35,1
37,synergy.Predator.2,synergy.Predator,2,PlaySynergy,Predator,10,포식자의 동료,시작 덱에서 포식자 시너지를 활성화하고 전투를 누적 10회 완료하세요,35,1
38,synergy.Predator.3,synergy.Predator,3,PlaySynergy,Predator,30,포식자의 동료,시작 덱에서 포식자 시너지를 활성화하고 전투를 누적 30회 완료하세요,35,1
39,synergy.Predator.4,synergy.Predator,4,PlaySynergy,Predator,100,포식자의 동료,시작 덱에서 포식자 시너지를 활성화하고 전투를 누적 100회 완료하세요,35,1
40,synergy.Predator.5,synergy.Predator,5,PlaySynergy,Predator,300,포식자의 동료,시작 덱에서 포식자 시너지를 활성화하고 전투를 누적 300회 완료하세요,35,1
41,synergy.Scale.1,synergy.Scale,1,PlaySynergy,Scale,1,비늘의 동료,시작 덱에서 비늘 시너지를 활성화하고 전투를 누적 1회 완료하세요,36,1
