id,chapterId,nodeId,order,prevNodeId,requiredPoints,aiDeckId,aiCardLevel
int,string,string,int,string,long,string,int
1,chapter_01,node_01,0,,0,deck_01,1
2,chapter_01,node_02,1,node_01,0,deck_02,1
3,chapter_01,node_03,2,node_02,0,deck_03,2
4,chapter_01,node_04,3,node_03,0,deck_04,2
5,chapter_01,node_05,4,node_04,0,deck_05,2
6,chapter_01,node_06,5,node_05,0,deck_06,2
7,chapter_02,node_07,0,node_06,260,deck_07,2
8,chapter_02,node_08,1,node_07,260,deck_08,2
9,chapter_02,node_09,2,node_08,260,deck_09,3
10,chapter_02,node_10,3,node_09,260,deck_10,3
11,chapter_02,node_11,4,node_10,260,deck_11,3
12,chapter_02,node_12,5,node_11,260,deck_12,3
13,chapter_03,node_13,0,node_12,420,adventure_node_13,3
14,chapter_03,node_14,1,node_13,420,adventure_node_14,3
15,chapter_03,node_15,2,node_14,420,adventure_node_15,3
16,chapter_03,node_16,3,node_15,420,adventure_node_16,4
17,chapter_03,node_17,4,node_16,420,adventure_node_17,4
18,chapter_03,node_18,5,node_17,420,adventure_node_18,4
19,chapter_04,node_19,0,node_18,580,adventure_node_19,4
20,chapter_04,node_20,1,node_19,580,adventure_node_20,4
21,chapter_04,node_21,2,node_20,580,adventure_node_21,4
22,chapter_04,node_22,3,node_21,580,adventure_node_22,4
23,chapter_04,node_23,4,node_22,580,adventure_node_23,4
24,chapter_04,node_24,5,node_23,580,adventure_node_24,4
