id,ownerKey,order,currency,amount
int,string,int,string,long
1,node_01,1,Gold,80
2,node_02,1,Shard,20
4,node_04,1,Gold,80
5,node_05,1,Shard,40
7,chapter_01,1,Gold,80
9,node_07,1,Gold,110
10,node_08,1,Shard,30
12,node_10,1,Gold,110
13,node_11,1,Shard,50
15,chapter_02,1,Gold,110
17,node_13,1,Gold,140
18,node_14,1,Shard,40
20,node_16,1,Gold,140
21,node_17,1,Shard,60
23,chapter_03,1,Gold,140
25,node_19,1,Gold,170
26,node_20,1,Shard,50
28,node_22,1,Gold,170
29,node_23,1,Shard,70
31,chapter_04,1,Gold,170
33,node_01,2,Shard,20
34,node_03,2,Shard,20
35,node_04,2,Shard,50
36,node_06,1,Shard,30
37,chapter_01,2,Diamond,10
38,node_07,2,Shard,30
39,node_09,2,Shard,30
40,node_10,2,Shard,50
41,node_12,1,Shard,40
42,chapter_02,2,Diamond,15
43,node_13,2,Shard,40
44,node_15,2,Shard,40
45,node_16,2,Shard,60
46,node_18,1,Shard,50
47,chapter_03,2,Diamond,20
48,node_19,2,Shard,50
49,node_21,2,Shard,50
50,node_22,2,Shard,70
51,node_24,1,Shard,60
52,chapter_04,2,Diamond,30
