행 고유 번호(부여 후 변경 금지)	AlbumTheme.themeId — 비우면 앨범 전체 보상	AlbumPage.pageId — 비우면 테마 완성 보상	같은 대상 안에서의 표시 순서	지급 재화(Gold/Diamond/Energy/Shard)	지급량(0 이하는 지급도 표시도 되지 않는다)	참고용 이름(데이터 아님)
id	themeId	pageId	order	currency	amount	#memo
int	string	string	int	string	long	string
1	Theme_Nature		1	Diamond	20	테마 완성
2	Theme_Nature		2	Shard	150	테마 완성
3	Theme_Nature	P1	1	Energy	50	P1 완성
4	Theme_Nature	P2	1	Energy	50	P2 완성
5	Theme_Nature	P3	1	Energy	50	P3 완성
6	Theme_Nature	P4	1	Energy	50	P4 완성
7			1	Gold	1500	앨범 완성
8			2	Diamond	30	앨범 완성
9			3	Shard	300	앨범 완성
