행 고유 번호(부여 후 변경 금지),CardPack.packId 참조,이 등급 이상에서 이 묶음 사용(가장 높은 만족 등급 하나만 적용),Card.id 참조,추첨 가중치(같은 packId+minGrade 안에서 정규화),참고용 카드 이름(데이터 아님)
id,packId,minGrade,cardId,weight,#cardName
int,string,string,int,int,string
1040,UltraPack,Bronze,10,4,꿈먹이
1041,UltraPack,Bronze,12,4,대장부리
1042,UltraPack,Bronze,14,4,해롱문어
1043,UltraPack,Bronze,15,3,물방울룽
1044,UltraPack,Bronze,16,3,풍선펭
1045,UltraPack,Bronze,25,4,찌릿핀
1046,UltraPack,Bronze,13,3,늪꾸리
1047,UltraPack,Bronze,19,3,얼음꼬미
1048,UltraPack,Bronze,3,3,별토리
1049,UltraPack,Bronze,1,3,포슬램
1050,UltraPack,Bronze,24,1,화르룩스
1052,KeywordDeck,Bronze,2,1,파도리
1053,KeywordDeck,Bronze,3,1,별토리
1054,KeywordDeck,Bronze,20,1,꿀꿀비
1055,KeywordDeck,Bronze,11,1,우드혼
1056,KeywordDeck,Bronze,4,1,솜구름몽
1057,StarterPack,Bronze,1,1,포슬램
1058,StarterPack,Bronze,28,1,단풍꼬리
1059,StarterPack,Bronze,20,1,꿀꿀비
1060,StarterPack,Bronze,6,1,바위콩
1061,StarterPack,Bronze,11,1,우드혼
1062,StarterPack,Bronze,30,1,폭탄밤
1063,SynergyPack,Bronze,20,1,꿀꿀비
1064,SynergyPack,Bronze,18,1,모래몽
1065,SynergyPack,Bronze,17,1,와글도도
1066,SynergyPack,Bronze,19,1,얼음꼬미
1068,SynergyPack,Bronze,30,1,폭탄밤
1069,UltraPack,Bronze,7,1,왕밤도치
1070,UltraPack,Bronze,21,1,자석게
1071,UltraPack,Bronze,23,1,눈덩곰
1072,UltraPack,Bronze,26,1,번개뿔
1073,UltraPack,Bronze,27,1,모닥콩
1074,UltraPack,Bronze,39,1,라이고르
1075,UltraPack,Bronze,40,1,피닉시아
1076,KeywordDeck,Bronze,37,1,마그네토스
1077,SynergyPack,Bronze,35,1,문바이트
1003,NormalPack_TEST,Bronze,6,1000,바위콩
1006,NormalPack_TEST,Bronze,30,1000,폭탄밤
1008,NormalPack_TEST,Bronze,29,1000,수정뿔루
1012,NormalPack_TEST,Bronze,5,1000,철갑몽치
1015,NormalPack_TEST,Bronze,2,1000,파도리
1017,NormalPack_TEST,Bronze,18,1000,모래몽
1018,NormalPack_TEST,Bronze,17,1000,와글도도
1022,SpecialPack,Bronze,6,2000,바위콩
1027,SpecialPack,Bronze,5,2000,철갑몽치
1030,SpecialPack,Bronze,2,750,파도리
1032,SpecialPack,Bronze,18,750,모래몽
1033,SpecialPack,Bronze,17,750,와글도도
1036,SpecialPack,Bronze,19,750,얼음꼬미
1037,SpecialPack,Bronze,3,750,별토리
1038,SpecialPack,Bronze,1,750,포슬램
1078,NormalPack_TEST,Bronze,1,1000,포슬램
1079,NormalPack_TEST,Bronze,3,1000,별토리
1080,NormalPack_TEST,Bronze,19,1000,얼음꼬미
1081,NormalPack_TEST,Silver,1,728,포슬램
1082,NormalPack_TEST,Silver,2,728,파도리
1083,NormalPack_TEST,Silver,3,728,별토리
1084,NormalPack_TEST,Silver,4,727,솜구름몽
1085,NormalPack_TEST,Silver,9,727,버섯냥
1086,NormalPack_TEST,Silver,13,727,늪꾸리
1087,NormalPack_TEST,Silver,17,727,와글도도
1088,NormalPack_TEST,Silver,18,727,모래몽
1089,NormalPack_TEST,Silver,19,727,얼음꼬미
1090,NormalPack_TEST,Silver,29,727,수정뿔루
1091,NormalPack_TEST,Silver,30,727,폭탄밤
1092,NormalPack_TEST,Silver,5,400,철갑몽치
1093,NormalPack_TEST,Silver,6,400,바위콩
1094,NormalPack_TEST,Silver,8,400,깜밤이
1095,NormalPack_TEST,Silver,10,400,꿈먹이
1096,NormalPack_TEST,Silver,14,400,해롱문어
1097,NormalPack_TEST,Gold,1,616,포슬램
1098,NormalPack_TEST,Gold,2,616,파도리
1099,NormalPack_TEST,Gold,3,616,별토리
1100,NormalPack_TEST,Gold,4,616,솜구름몽
1101,NormalPack_TEST,Gold,9,616,버섯냥
1102,NormalPack_TEST,Gold,13,615,늪꾸리
1103,NormalPack_TEST,Gold,15,615,물방울룽
1104,NormalPack_TEST,Gold,16,615,풍선펭
1105,NormalPack_TEST,Gold,17,615,와글도도
1106,NormalPack_TEST,Gold,18,615,모래몽
1107,NormalPack_TEST,Gold,19,615,얼음꼬미
1108,NormalPack_TEST,Gold,29,615,수정뿔루
1109,NormalPack_TEST,Gold,30,615,폭탄밤
1110,NormalPack_TEST,Gold,5,223,철갑몽치
1111,NormalPack_TEST,Gold,6,223,바위콩
1112,NormalPack_TEST,Gold,8,222,깜밤이
1113,NormalPack_TEST,Gold,10,222,꿈먹이
1114,NormalPack_TEST,Gold,11,222,우드혼
1115,NormalPack_TEST,Gold,12,222,대장부리
1116,NormalPack_TEST,Gold,14,222,해롱문어
1117,NormalPack_TEST,Gold,22,222,톱니두더
1118,NormalPack_TEST,Gold,25,222,찌릿핀
1119,NormalPack_TEST,Platinum,1,500,포슬램
1120,NormalPack_TEST,Platinum,2,500,파도리
1121,NormalPack_TEST,Platinum,3,500,별토리
1122,NormalPack_TEST,Platinum,4,500,솜구름몽
1123,NormalPack_TEST,Platinum,9,500,버섯냥
1124,NormalPack_TEST,Platinum,13,500,늪꾸리
1125,NormalPack_TEST,Platinum,15,500,물방울룽
1126,NormalPack_TEST,Platinum,16,500,풍선펭
1127,NormalPack_TEST,Platinum,17,500,와글도도
1128,NormalPack_TEST,Platinum,18,500,모래몽
1129,NormalPack_TEST,Platinum,19,500,얼음꼬미
1130,NormalPack_TEST,Platinum,20,500,꿀꿀비
1131,NormalPack_TEST,Platinum,29,500,수정뿔루
1132,NormalPack_TEST,Platinum,30,500,폭탄밤
1133,NormalPack_TEST,Platinum,32,500,별꼬리
1134,NormalPack_TEST,Platinum,33,500,루미엘크
1135,NormalPack_TEST,Platinum,5,182,철갑몽치
1136,NormalPack_TEST,Platinum,6,182,바위콩
1137,NormalPack_TEST,Platinum,8,182,깜밤이
1138,NormalPack_TEST,Platinum,10,182,꿈먹이
1139,NormalPack_TEST,Platinum,11,182,우드혼
1140,NormalPack_TEST,Platinum,12,182,대장부리
1141,NormalPack_TEST,Platinum,14,182,해롱문어
1142,NormalPack_TEST,Platinum,22,182,톱니두더
1143,NormalPack_TEST,Platinum,25,182,찌릿핀
1144,NormalPack_TEST,Platinum,28,181,단풍꼬리
1145,NormalPack_TEST,Platinum,31,181,수정코뿔소
1146,NormalPack_TEST,Diamond,1,422,포슬램
1147,NormalPack_TEST,Diamond,2,421,파도리
1148,NormalPack_TEST,Diamond,3,421,별토리
1149,NormalPack_TEST,Diamond,4,421,솜구름몽
1150,NormalPack_TEST,Diamond,9,421,버섯냥
1151,NormalPack_TEST,Diamond,13,421,늪꾸리
1152,NormalPack_TEST,Diamond,15,421,물방울룽
1153,NormalPack_TEST,Diamond,16,421,풍선펭
1154,NormalPack_TEST,Diamond,17,421,와글도도
1155,NormalPack_TEST,Diamond,18,421,모래몽
1156,NormalPack_TEST,Diamond,19,421,얼음꼬미
1157,NormalPack_TEST,Diamond,20,421,꿀꿀비
1158,NormalPack_TEST,Diamond,29,421,수정뿔루
1159,NormalPack_TEST,Diamond,30,421,폭탄밤
1160,NormalPack_TEST,Diamond,32,421,별꼬리
1161,NormalPack_TEST,Diamond,33,421,루미엘크
1162,NormalPack_TEST,Diamond,35,421,문바이트
1163,NormalPack_TEST,Diamond,36,421,틱톡곤
1164,NormalPack_TEST,Diamond,37,421,마그네토스
1165,NormalPack_TEST,Diamond,5,154,철갑몽치
1166,NormalPack_TEST,Diamond,6,154,바위콩
1167,NormalPack_TEST,Diamond,8,154,깜밤이
1168,NormalPack_TEST,Diamond,10,154,꿈먹이
1169,NormalPack_TEST,Diamond,11,154,우드혼
1170,NormalPack_TEST,Diamond,12,154,대장부리
1171,NormalPack_TEST,Diamond,14,154,해롱문어
1172,NormalPack_TEST,Diamond,22,154,톱니두더
1173,NormalPack_TEST,Diamond,25,154,찌릿핀
1174,NormalPack_TEST,Diamond,28,154,단풍꼬리
1175,NormalPack_TEST,Diamond,31,154,수정코뿔소
1176,NormalPack_TEST,Diamond,34,153,마그몰
1177,NormalPack_TEST,Diamond,38,153,크랙몬
1178,SpecialPack,Bronze,29,750,수정뿔루
1179,SpecialPack,Bronze,30,750,폭탄밤
1180,SpecialPack,Silver,1,546,포슬램
1181,SpecialPack,Silver,2,546,파도리
