행 고유 번호(부여 후 변경 금지)	CardPack.packId 참조	이 등급 이상에서 이 묶음 사용(가장 높은 만족 등급 하나만 적용)	Card.id 참조	추첨 가중치(같은 packId+minGrade 안에서 정규화)	참고용 카드 이름(데이터 아님)
id	packId	minGrade	cardId	weight	#cardName
int	string	string	int	int	string
1000	NormalPack_TEST	Bronze	26	1	번개뿔
1001	NormalPack_TEST	Bronze	27	1	모닥콩
1002	NormalPack_TEST	Bronze	11	1	우드혼
1003	NormalPack_TEST	Bronze	6	1	바위콩
1004	NormalPack_TEST	Bronze	28	1	단풍꼬리
1005	NormalPack_TEST	Bronze	4	1	솜구름몽
1006	NormalPack_TEST	Bronze	30	1	폭탄밤
1007	NormalPack_TEST	Bronze	20	1	꿀꿀비
1008	NormalPack_TEST	Bronze	29	1	수정뿔루
1009	NormalPack_TEST	Bronze	23	1	눈덩곰
1010	NormalPack_TEST	Bronze	21	1	자석게
1011	NormalPack_TEST	Bronze	7	1	왕밤도치
1012	NormalPack_TEST	Bronze	5	1	철갑몽치
1013	NormalPack_TEST	Bronze	22	1	톱니두더
1014	NormalPack_TEST	Bronze	8	1	깜밤이
1015	NormalPack_TEST	Bronze	2	1	파도리
1016	NormalPack_TEST	Bronze	9	1	버섯냥
1017	NormalPack_TEST	Bronze	18	1	모래몽
1018	NormalPack_TEST	Bronze	17	1	와글도도
1019	SpecialPack	Bronze	26	1	번개뿔
1020	SpecialPack	Bronze	27	1	모닥콩
1021	SpecialPack	Bronze	11	1	우드혼
1022	SpecialPack	Bronze	6	1	바위콩
1023	SpecialPack	Bronze	28	1	단풍꼬리
1024	SpecialPack	Bronze	23	1	눈덩곰
1025	SpecialPack	Bronze	21	1	자석게
1026	SpecialPack	Bronze	7	1	왕밤도치
1027	SpecialPack	Bronze	5	1	철갑몽치
1028	SpecialPack	Bronze	22	1	톱니두더
1029	SpecialPack	Bronze	8	1	깜밤이
1030	SpecialPack	Bronze	2	1	파도리
1031	SpecialPack	Bronze	9	1	버섯냥
1032	SpecialPack	Bronze	18	1	모래몽
1033	SpecialPack	Bronze	17	1	와글도도
1034	SpecialPack	Bronze	25	1	찌릿핀
1035	SpecialPack	Bronze	13	1	늪꾸리
1036	SpecialPack	Bronze	19	1	얼음꼬미
1037	SpecialPack	Bronze	3	1	별토리
1038	SpecialPack	Bronze	1	1	포슬램
1039	SpecialPack	Bronze	24	1	화르룩스
1040	UltraPack	Bronze	10	1	꿈먹이
1041	UltraPack	Bronze	12	1	대장부리
1042	UltraPack	Bronze	14	1	해롱문어
1043	UltraPack	Bronze	15	1	물방울룽
1044	UltraPack	Bronze	16	1	풍선펭
1045	UltraPack	Bronze	25	1	찌릿핀
1046	UltraPack	Bronze	13	1	늪꾸리
1047	UltraPack	Bronze	19	1	얼음꼬미
1048	UltraPack	Bronze	3	1	별토리
1049	UltraPack	Bronze	1	1	포슬램
1050	UltraPack	Bronze	24	1	화르룩스
1051	KeywordDeck	Bronze	26	1	번개뿔
1052	KeywordDeck	Bronze	2	1	파도리
1053	KeywordDeck	Bronze	3	1	별토리
1054	KeywordDeck	Bronze	20	1	꿀꿀비
1055	KeywordDeck	Bronze	11	1	우드혼
1056	KeywordDeck	Bronze	4	1	솜구름몽
1057	StarterPack	Bronze	1	1	포슬램
1058	StarterPack	Bronze	28	1	단풍꼬리
1059	StarterPack	Bronze	20	1	꿀꿀비
1060	StarterPack	Bronze	6	1	바위콩
1061	StarterPack	Bronze	11	1	우드혼
1062	StarterPack	Bronze	30	1	폭탄밤
1063	SynergyPack	Bronze	20	1	꿀꿀비
1064	SynergyPack	Bronze	18	1	모래몽
1065	SynergyPack	Bronze	17	1	와글도도
1066	SynergyPack	Bronze	19	1	얼음꼬미
1067	SynergyPack	Bronze	27	1	모닥콩
1068	SynergyPack	Bronze	30	1	폭탄밤
