카드 고유 번호(부여 후 변경 금지),에셋 이름(매칭 키),화면 표시 이름,Live=실행 노출 / TestOnly=테스트만,기본 체력(=공격력),키워드(여러 개는 / 로 구분),키워드 열리는 강화 레벨(0=처음부터),SynergyData 에셋 이름(여러 개는 / 로 구분),시작 진화 단계(0=미진화),Lv2 진입 시 증가 HP,Lv3 진입 시 증가 HP,Lv4 진입 시 증가 HP,도감 설명문,카드 등급(Common/Rare/Arcane/Mythic),시네마 공격 연출(Default/EnergyOrbDash),공격 이펙트 주소(비우면 없음)
id,name,displayName,channel,maxHp,keywords,keywordUnlockLevel,synergies,defaultEvolutionStage,hp2,hp3,hp4,cardExplain,grade,cinemaAttackStyle,attackEffectKey
int,string,string,string,int,string,int,string,int,int,int,int,string,string,string,string
1,Data_Card_Poslamb,포슬램,Live,3,Healer,2,Data_Synergy_Caretaker,0,4,5,4,머리의 잎사귀 털로 밭을 가꾸는 평화주의자. 다만 잡초를 발견하면 양답지 않게 눈빛이 매서워진다.,Common,Default,
2,Data_Card_Waveri,파도리,Live,4,Ranged,0,Data_Synergy_Caretaker,0,5,4,3,파도 위를 누구보다 빠르게 달리는 구조대원. 구조가 끝나면 꼭 한 번은 멋진 턴을 보여줘야 직성이 풀린다.,Common,Default,Effect_Attack_Waveri
3,Data_Card_Startori,별토리,Live,4,Healer,0,Data_Synergy_Caretaker,0,5,4,4,별빛으로 아군의 사기를 올리는 토끼. 응원은 눈부시지만 밤에 몰래 다가가는 임무에는 절대 못 쓴다.,Common,Default,
4,Data_Card_Cloudmong,솜구름몽,Live,4,,0,Data_Synergy_Caretaker,0,5,4,3,"무거운 짐도 구름처럼 가볍게 나른다. 단, 바람 센 날에는 배송지가 조금 달라질 수 있다.",Common,Default,
5,Data_Card_IronMongchi,철갑몽치,Live,5,Taunt,0,Data_Synergy_Scale,0,5,4,6,철갑 등껍질로 모두를 지키는 든든한 탱커. 문이 좁으면 전투보다 입장이 더 오래 걸린다.,Rare,Default,
6,Data_Card_Rockbean,바위콩,Live,5,,0,Data_Synergy_Bulk,0,5,4,3,위험하면 동그랗게 말아 완벽한 돌이 된다. 너무 완벽해서 동료들이 가끔 광물로 착각한다.,Rare,Default,
7,Data_Card_KingChestnutHedgehog,왕밤도치,Live,6,Taunt,2,,0,3,4,6,밤송이 갑옷을 입고 농장을 지키는 거대한 고슴도치. 구르기 한 번이면 적도 수확물도 함께 사라진다.,Rare,Default,
8,Data_Card_Nightchestnut,깜밤이,Live,5,Taunt,2,Data_Synergy_Trace,0,3,4,6,밤길 안내를 맡은 올빼미 정찰병. 정작 낮 회의에서는 망토 속에서 꾸벅꾸벅 졸고 있다.,Rare,Default,
