행 고유 번호(부여 후 변경 금지),아이템 종류(Avatar/Frame/Emote),종류별 영구 ID(Emote는 양의 정수 문자열),기본 소유 여부(1=기본 소유/0=지급 후 소유; 신규 획득형은 0)
id,itemType,itemId,defaultOwned
int,string,string,int
1,Avatar,avatar_00,1
2,Avatar,avatar_01,1
3,Avatar,avatar_02,1
4,Frame,frame_default,1
5,Frame,frame_Sun,1
6,Frame,frame_Emerald,1
7,Frame,frame_Frost,1
8,Frame,frame_Rose,1
9,Frame,frame_Moon,1
10,Frame,frame_Ocean,1
11,Emote,1,1
12,Emote,2,1
13,Emote,3,1
14,Emote,4,1
15,Emote,5,1
16,Emote,6,1
17,Emote,7,1
18,Emote,8,1
19,Emote,9,1
20,Emote,10,1
21,Emote,11,1
22,Emote,12,1
23,Emote,13,1
24,Emote,14,1
25,Emote,15,1
26,Emote,16,1
27,Emote,17,1
28,Emote,18,1
29,Emote,19,1
30,Emote,20,1
31,Emote,21,1
