행 고유 번호(부여 후 변경 금지),랭크 티어 인덱스(0~19),전투 종류(Normal/DivisionFinal/GradeFinal),AIDeck.deckId 참조,card1 내부 레벨(1~4·표시 성급+1),card2 내부 레벨(1~4·표시 성급+1),card3 내부 레벨(1~4·표시 성급+1),card4 내부 레벨(1~4·표시 성급+1),card5 내부 레벨(1~4·표시 성급+1),card6 내부 레벨(1~4·표시 성급+1),card1 한계돌파(0~3·Lv4에서만),card2 한계돌파(0~3·Lv4에서만),card3 한계돌파(0~3·Lv4에서만),card4 한계돌파(0~3·Lv4에서만),card5 한계돌파(0~3·Lv4에서만),card6 한계돌파(0~3·Lv4에서만),강조 에이스 슬롯(0=없음·1~6),초기 곡선 후보·실전 밸런스 미검증
id,tierIndex,battleKind,deckId,level1,level2,level3,level4,level5,level6,limitBreak1,limitBreak2,limitBreak3,limitBreak4,limitBreak5,limitBreak6,highlightSlot,#memo
int,int,string,string,int,int,int,int,int,int,int,int,int,int,int,int,int,string
10010,0,Normal,deck_10,1,1,1,1,1,1,0,0,0,0,0,0,0,브론즈 단독 시너지·키워드 없음 / 기본 체력 높은 모닥콩 우선
10011,0,Normal,deck_11,1,1,1,1,1,1,0,0,0,0,0,0,0,브론즈 단독 시너지·키워드 없음 / 기본 체력 높은 번개뿔 우선
10112,1,Normal,deck_12,2,2,2,1,1,1,0,0,0,0,0,0,1,브론즈 2 원거리 3장 / 와글도도·모래몽·파도리 우선 강화
10113,1,Normal,deck_13,1,1,2,2,1,2,0,0,0,0,0,0,4,브론즈 2 도발 3장 / 철갑몽치·톱니두더·눈덩곰 우선 강화
10114,1,Normal,deck_14,1,2,2,1,2,1,0,0,0,0,0,0,3,브론즈 2 원거리 2장·도발 1장 / 모래몽·버섯냥·깜밤이 우선 강화
10212,2,Normal,deck_12,2,2,2,2,2,1,0,0,0,0,0,0,1,브론즈 3 원거리 주력 유지·보조 2장 추가 강화
10213,2,Normal,deck_13,1,1,3,3,1,2,0,0,0,0,0,0,4,브론즈 3 철갑몽치·톱니두더 2성 / 비늘 2장 시너지 활성
10214,2,Normal,deck_14,1,2,3,1,3,1,0,0,0,0,0,0,3,브론즈 3 버섯냥·깜밤이 2성 / 추적 2장 시너지 활성
10312,3,Normal,deck_12,2,2,2,2,2,2,0,0,0,0,0,0,1,브론즈 4 전원 1성 / 원거리 주력 덱
10313,3,Normal,deck_13,2,1,3,3,1,2,0,0,0,0,0,0,4,브론즈 4 비늘 2장 유지 / 보조 1장 추가 강화
10314,3,Normal,deck_14,2,2,3,1,3,1,0,0,0,0,0,0,3,브론즈 4 추적 2장 유지 / 보조 1장 추가 강화
10315,3,Normal,deck_15,2,2,2,2,2,2,0,0,0,0,0,0,4,브론즈 4 처형 3장 합류 / 찌릿핀·얼음꼬미·늪꾸리
10316,3,Normal,deck_16,2,2,2,2,2,2,0,0,0,0,0,0,4,브론즈 4 회복 덱 합류 / 파도리·포슬램·별토리·왕밤도치
10412,4,Normal,deck_12,3,2,2,2,2,2,0,0,0,0,0,0,1,실버 1 와글도도 2성 / 브론즈 승급전 성장 유지
10413,4,Normal,deck_13,2,2,3,3,1,2,0,0,0,0,0,0,4,실버 1 비늘 2장 유지 / 브론즈 승급전과 같은 성장
10414,4,Normal,deck_14,2,2,3,2,3,1,0,0,0,0,0,0,3,실버 1 추적 2장 유지 / 브론즈 승급전과 같은 성장
10415,4,Normal,deck_15,2,2,2,3,2,2,0,0,0,0,0,0,4,실버 1 찌릿핀 2성 / 브론즈 승급전 성장 유지
10416,4,Normal,deck_16,2,2,2,3,2,2,0,0,0,0,0,0,4,실버 1 파도리 2성 / 브론즈 승급전 성장 유지
10512,5,Normal,deck_12,3,3,2,2,2,2,0,0,0,0,0,0,1,낙인 2장으로 완성 불가 / 와글도도·모래몽 원거리 해금 우선
10513,5,Normal,deck_13,2,2,3,3,2,2,0,0,0,0,0,0,4,비늘 2장 우선·눈덩곰 도발 보완 / 톱니두더 에이스
10514,5,Normal,deck_14,2,2,3,2,3,2,0,0,0,0,0,0,3,추적 2장 우선 / 버섯냥 원거리·깜밤이 도발 해금
10515,5,Normal,deck_15,3,2,2,3,2,2,0,0,0,0,0,0,4,완성 가능한 시너지 없음 / 찌릿핀·얼음꼬미·늪꾸리 처형 해금
10516,5,Normal,deck_16,2,3,2,3,2,2,0,0,0,0,0,0,4,돌보미 3장 우선 / 원거리 파도리 에이스·포슬램 힐러 해금
10615,6,Normal,deck_15,3,3,2,3,2,2,0,0,0,0,0,0,4,완성 가능한 시너지 없음 / 찌릿핀·얼음꼬미·늪꾸리 처형 해금
10616,6,Normal,deck_16,2,3,3,3,2,2,0,0,0,0,0,0,4,돌보미 3장 우선 / 원거리 파도리 에이스·포슬램 힐러 해금
10617,6,Normal,deck_17,3,3,2,3,2,2,0,0,0,0,0,0,4,흐름 3장 우선 / 처형 찌릿핀 에이스·교활 2장 해금
10618,6,Normal,deck_18,2,3,2,3,3,2,0,0,0,0,0,0,4,완성 가능한 시너지 없음 / 대장부리·해롱문어 무쌍과 얼음꼬미 처형
10719,7,Normal,deck_19,3,3,2,2,3,3,0,0,0,0,0,0,1,비늘 2장 우선 / 자석게 에이스·톱니두더 도발 해금
10720,7,Normal,deck_20,3,3,2,3,2,3,0,0,0,0,0,0,2,덩치 2장 우선 / 고체력 도발 화르룩스 에이스
