행 고유 번호(부여 후 변경 금지),시너지 논리 ID(코드·시트 참조용 · 변경 금지),화면 표시 이름,효과 설명문
id,synergyId,displayName,effectDescription
int,string,string,string
1,Brand,낙인,공격 전 필드의 낙인 카드 1명당 1/2 피해를 한 번에 적용
2,Bulk,덩치,"처음 전장에 배치될 때, 추가 생명력 +3/+6"
3,Caretaker,돌보미,돌보미 카드가 나올 때 필드 돌보미 생명력 회복 및 추가 생명력 +1/+2
4,Flow,흐름,흐름 카드 등장 시 스택 +1/+2. 흐름 카드가 공격/반격으로 주는 피해가 스택만큼 증가
6,Legacy,유산,턴 시작마다 스택 +1/+2. 사망 시 다른 아군 캐릭터를 스택만큼 회복
7,Predator,포식자,공격 후 생존 시 실제로 준 기본 공격 피해의 50%/75%만큼 회복
8,Scale,비늘,공격으로 받는 피해 -1/-2
9,Trace,추적,공격 후 살아남은 적에게 표식 부여. 표식이 있던 적을 처치하면 추가 생명력 +2
