행 고유 번호(부여 후 변경 금지),챕터 안정 키 — 완주 판정과 완주 보상 낙인 키,정점 안정 키 — 클리어 낙인 키. 전체에서 유일,챕터 안 정점 순서(0부터),전역 직전 정점 — 해금 사슬. 첫 정점만 비우고 챕터 경계를 넘어 이어진다(비운 행이 둘이면 서버가 전면 차단),이 챕터에 들어갈 수 있는 rank.points 하한. 첫 등급 챕터는 0(신규 계정도 첫 등급으로 읽힌다),참고용 이름(데이터 아님)
id,chapterId,nodeId,order,prevNodeId,requiredPoints,#memo
int,string,string,int,string,long,string
1,chapter_01,node_01,0,,0,제1장 · 안개 숲 1번째
2,chapter_01,node_02,1,node_01,0,제1장 · 안개 숲 2번째
3,chapter_01,node_03,2,node_02,0,제1장 · 안개 숲 3번째
4,chapter_01,node_04,3,node_03,0,제1장 · 안개 숲 4번째
5,chapter_01,node_05,4,node_04,0,제1장 · 안개 숲 5번째
6,chapter_01,node_06,5,node_05,0,제1장 · 안개 숲 6번째
7,chapter_02,node_07,0,node_06,260,제2장 · 무너진 성터 1번째
8,chapter_02,node_08,1,node_07,260,제2장 · 무너진 성터 2번째
9,chapter_02,node_09,2,node_08,260,제2장 · 무너진 성터 3번째
10,chapter_02,node_10,3,node_09,260,제2장 · 무너진 성터 4번째
11,chapter_02,node_11,4,node_10,260,제2장 · 무너진 성터 5번째
12,chapter_02,node_12,5,node_11,260,제2장 · 무너진 성터 6번째
13,chapter_03,node_13,0,node_12,420,제3장 · 얼어붙은 설원 1번째
14,chapter_03,node_14,1,node_13,420,제3장 · 얼어붙은 설원 2번째
15,chapter_03,node_15,2,node_14,420,제3장 · 얼어붙은 설원 3번째
16,chapter_03,node_16,3,node_15,420,제3장 · 얼어붙은 설원 4번째
17,chapter_03,node_17,4,node_16,420,제3장 · 얼어붙은 설원 5번째
18,chapter_03,node_18,5,node_17,420,제3장 · 얼어붙은 설원 6번째
19,chapter_04,node_19,0,node_18,580,제4장 · 잿불의 화산 1번째
20,chapter_04,node_20,1,node_19,580,제4장 · 잿불의 화산 2번째
21,chapter_04,node_21,2,node_20,580,제4장 · 잿불의 화산 3번째
22,chapter_04,node_22,3,node_21,580,제4장 · 잿불의 화산 4번째
23,chapter_04,node_23,4,node_22,580,제4장 · 잿불의 화산 5번째
24,chapter_04,node_24,5,node_23,580,제4장 · 잿불의 화산 6번째
