korean,english,kind
모닥콩,Campbean,Card
포슬램,Poslamb,Card
찌릿핀,Sparkfin,Card
물방울룽,WaterdropLong,Card
바위콩,Rockbean,Card
깜밤이,Nightchestnut,Card
솜구름몽,Cloudmong,Card
얼음꼬미,Icekomi,Card
꿀꿀비,Honeybee,Card
톱니두더,Gearmole,Card
화르룩스,Flarelux,Card
철갑몽치,IronMongchi,Card
풍선펭,BalloonPeng,Card
버섯냥,MushroomCat,Card
별토리,Startori,Card
늪꾸리,Swampfrog,Card
번개뿔,Thunderhorn,Card
단풍꼬리,Mapletail,Card
눈덩곰,SnowballBear,Card
와글도도,Waggledodo,Card
자석게,MagnetCrab,Card
해롱문어,DizzyOctopus,Card
폭탄밤,Bombbat,Card
우드혼,Woodhorn,Card
파도리,Waveri,Card
모래몽,Sandmong,Card
수정뿔루,Crystalhorn,Card
대장부리,CaptainBeak,Card
꿈먹이,Dreameater,Card
왕밤도치,KingChestnutHedgehog,Card
덩치,Bulk,Synergy
돌보미,Caretaker,Synergy
무리,Swarm,Synergy
비늘,Scale,Synergy
성벽,Rampart,Synergy
언데드,Undead,Synergy
유산,Legacy,Synergy
청소부,Cleaner,Synergy
흐름,Flow,Synergy
기본,Default,Keyword
도발,Taunt,Keyword
교활,Cunning,Keyword
무쌍,Peerless,Keyword
원거리,Ranged,Keyword
처형,Execution,Keyword
힐러,Healer,Keyword
표식,Mark,Keyword
수정코뿔소,CrystalRhino,Card
별꼬리,Startail,Card
루미엘크,Lumielk,Card
마그몰,Magmole,Card
문바이트,Moonbite,Card
틱톡곤,Ticktockgon,Card
마그네토스,Magnetos,Card
크랙몬,Crackmon,Card
라이고르,Raigor,Card
피닉시아,Phoenixia,Card
